Day	SO2
23/09/2021	12000
24/09/2021	28000
25/09/2021	25000
26/09/2021	16380
27/09/2021	567
28/09/2021	16757
29/09/2021	7149
30/09/2021	8700
01/10/2021	2330
02/10/2021	3401
03/10/2021	16000
04/10/2021	1200
05/10/2021	5849
06/10/2021	13100
07/10/2021	4994
08/10/2021	6876
09/10/2021	4522
10/10/2021	7652
11/10/2021	21868
12/10/2021	17774
13/10/2021	15995
14/10/2021	14542
15/10/2021	2882
16/10/2021	8278
17/10/2021	3929
18/10/2021	9938
19/10/2021	7513
20/10/2021	2710
21/10/2021	28745
22/10/2021	31600
23/10/2021	3200
24/10/2021	53600
25/10/2021	40800
26/10/2021	37350
27/10/2021	16350
28/10/2021	15000
29/10/2021	
30/10/2021	7700
31/10/2021	4990
01/11/2021	22000
02/11/2021	9600
03/11/2021	29400
04/11/2021	31300
05/11/2021	26000
06/11/2021	10000
07/11/2021	20000
08/11/2021	11000
09/11/2021	37000
10/11/2021	14000
11/11/2021	15000
12/11/2021	17000
13/11/2021	3000
14/11/2021	13500
